127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/images/favicon.ico, HTTP/1.1, 304, 0.011000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/logos_footer, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:03:19, GET, /cliente/10_conteo_aves/index2, HTTP/1.1, 200, 0.261000
127.0.0.1, 2014-12-18 18:03:19, GET, /cliente/10_conteo_aves/index2, HTTP/1.1, 200, 0.412000
127.0.0.1, 2014-12-18 18:03:19, GET, /cliente/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-12-18 18:04:04, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2014-12-18 18:04:04, GET, /welcome/default/index, HTTP/1.1, 404, 0.000000
